"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","93","Deve criar um novo usuário","Testes da API de Usuários","Sat May 31 12:26:18 GMT 2025","passed","Sat May 31 12:26:18 GMT 2025","","","",""
"","59","Tentar criar um novo produto que o preco tenha casas décimais 13.6","Testes da API de Produtos","Sat May 31 12:25:36 GMT 2025","passed","Sat May 31 12:25:36 GMT 2025","","","",""
"","65","Tentar criar um novo produto com descricao vazio","Testes da API de Produtos","Sat May 31 12:25:35 GMT 2025","passed","Sat May 31 12:25:36 GMT 2025","","","",""
"","303","Deve concluir a compra e carrinho ser excluído","Testes da API de Carrinho - Concluir Compra","Sat May 31 12:25:01 GMT 2025","passed","Sat May 31 12:25:01 GMT 2025","","","",""
"","59","Deve buscar pela quantidade do produto cadastrado","Testes da API de Usuários","Sat May 31 12:25:30 GMT 2025","passed","Sat May 31 12:25:30 GMT 2025","","","",""
"","51","Validar busca por ID do usuário vazio","Testes da API de Usuários","Sat May 31 12:25:52 GMT 2025","passed","Sat May 31 12:25:52 GMT 2025","","","",""
"","60","Deve buscar pela descrição do produto cadastrado","Testes da API de Usuários","Sat May 31 12:25:30 GMT 2025","passed","Sat May 31 12:25:30 GMT 2025","","","",""
"","316","Deve cancelar a compra e carrinho ser excluído","Testes da API de Carrinho - Concluir Compra","Sat May 31 12:24:58 GMT 2025","passed","Sat May 31 12:24:58 GMT 2025","","","",""
"","55","Validar busca por produto com ID incorreto","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:25 GMT 2025","passed","Sat May 31 12:25:25 GMT 2025","","","",""
"","53","Deve falhar ao cancelar carrinho com token inválido","Testes da API de Carrinho - Concluir Compra","Sat May 31 12:24:58 GMT 2025","passed","Sat May 31 12:24:58 GMT 2025","","","",""
"","59","Tentar editar produto com preço vazio","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:41 GMT 2025","passed","Sat May 31 12:25:41 GMT 2025","","","",""
"","98","Tentar deletar usuário com ID como verdadeiro","Testes da API de Usuários - Deletar Usuário","Sat May 31 12:25:45 GMT 2025","passed","Sat May 31 12:25:45 GMT 2025","","","",""
"","239","Deve listar carrinho por ID","Testes da API de Carrinhos - Realizar busca por carrinhos","Sat May 31 12:25:05 GMT 2025","passed","Sat May 31 12:25:05 GMT 2025","","","",""
"","55","Deve atualizar apenas a quantidade do produto","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:41 GMT 2025","passed","Sat May 31 12:25:41 GMT 2025","","","",""
